CODIGO_ENTIDAD|NOMBRE|TIPO_GESTION|ESTADO_LICENCIAMIENTO|FECHA_INICIO_LICENCIAMIENTO|FECHA_FIN_LICENCIAMIENTO|PERIODO_LICENCIAMIENTO|DEPARTAMENTO|PROVINCIA|DISTRITO|UBIGEO|LATITUD|LONGITUD|FECHA_CORTE
096|UNIVERSIDAD AUTÓNOMA DEL PERÚ S.A.C.|PRIVADO|LICENCIA OTORGADA|20180730|20240730|6|LIMA|LIMA|VILLA EL SALVADOR|140141|-12.19546795|-76.97195455|20220817
097|ASOCIACIÓN CIVIL UNIVERSIDAD DE CIENCIAS Y HUMANIDADES|PRIVADO|LICENCIA OTORGADA|20171120|20231120|6|LIMA|LIMA|LOS OLIVOS|140142|-11.9615097|-77.0655921|20220817
098|UNIVERSIDAD NACIONAL DE JULIACA|PÚBLICO|LICENCIA OTORGADA|20180903|20240903|6|PUNO|SAN ROMÁN|JULIACA|200901|-15.48811805|-70.14977609|20220817
100|UNIVERSIDAD JAIME BAUSATE Y MEZA|PRIVADO|LICENCIA OTORGADA|20180619|20240619|6|LIMA|LIMA|JESÚS MARÍA|140133|-12.0849556|-77.0547406|20220817
101|UNIVERSIDAD NACIONAL DE JAÉN|PÚBLICO|LICENCIA OTORGADA|20180119|20240119|6|CAJAMARCA|JAÉN|JAÉN|060801|-5.67371|-78.77636|20220817
104|UNIVERSIDAD LE CORDON BLEU S.A.C.|PRIVADO|LICENCIA OTORGADA|20181119|20241119|6|LIMA|LIMA|MAGDALENA DEL MAR|140114|-12.0985893|-77.05636|20220817
108|UNIVERSIDAD DE CIENCIAS Y ARTES DE AMÉRICA LATINA S.A.C.|PRIVADO|LICENCIA OTORGADA|20161011|20221011|6|LIMA|LIMA|LA MOLINA|140110|-12.0857224|-76.9086688|20220817
120|UNIVERSIDAD NACIONAL AUTÓNOMA DE CHOTA|PÚBLICO|LICENCIA OTORGADA|20181212|20241212|6|CAJAMARCA|CHOTA|CHOTA|060601|-6.561748217|-78.64988584|20220817
121|UNIVERSIDAD NACIONAL DE BARRANCA|PÚBLICO|LICENCIA OTORGADA|20180530|20240530|6|LIMA|BARRANCA|BARRANCA|140901|-10.7543002|-77.7582572|20220817
122|UNIVERSIDAD NACIONAL DE CAÑETE|PÚBLICO|LICENCIA OTORGADA|20180913|20240913|6|LIMA|CAÑETE|SAN VICENTE DE CAÑETE|140401|-13.0730626|-76.3678195|20220817
123|UNIVERSIDAD NACIONAL INTERCULTURAL FABIOLA SALAZAR LEGUÍA DE BAGUA|PÚBLICO|LICENCIA OTORGADA|20180821|20240821|6|AMAZONAS|BAGUA|BAGUA|010205|-5.6324299|-78.534926|20220817
124|UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA|PÚBLICO|LICENCIA OTORGADA|20180326|20240326|6|JUNÍN|CHANCHAMAYO|CHANCHAMAYO|110801|-11.05655335|-75.33195137|20220817
