CODIGO_ENTIDAD|NOMBRE|TIPO_GESTION|ESTADO_LICENCIAMIENTO|FECHA_INICIO_LICENCIAMIENTO|FECHA_FIN_LICENCIAMIENTO|PERIODO_LICENCIAMIENTO|DEPARTAMENTO|PROVINCIA|DISTRITO|UBIGEO|LATITUD|LONGITUD|FECHA_CORTE
125|UNIVERSIDAD NACIONAL INTERCULTURAL DE QUILLABAMBA|PÚBLICO|LICENCIA OTORGADA|20190703|20250703|6|CUSCO|LA CONVENCIÓN|SANTA ANA|070901|-12.856872|-72.69172369|20220817
134|UNIVERSIDAD LATINOAMERICANA CIMA S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|TACNA|TACNA|TACNA|220101|-18.0165596|-70.2417025|20220817
135|UNIVERSIDAD PRIVADA AUTÓNOMA DEL SUR S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|AREQUIPA|AREQUIPA|AREQUIPA|040101|-16.4083213|-71.5281451|20220817
140|UNIVERSIDAD SANTO DOMINGO DE GUZMÁN S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|LIMA|HUAROCHIRÍ|SAN ANTONIO|140615|-11.90960162|-76.97846664|20220817
142|UNIVERSIDAD PRIVADA LÍDER PERUANA S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|CUSCO|LA CONVENCIÓN|SANTA ANA|070901|-12.8604607|-72.6921444|20220817
143|UNIVERSIDAD PRIVADA PERUANO ALEMANA S.A.C.|PRIVADO|LICENCIA OTORGADA|20190805|20250805|6|LIMA|LIMA|CHORRILLOS|140108|-12.16619816|-77.02366819|20220817
144|UNIVERSIDAD GLOBAL DEL CUSCO S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|CUSCO|CUSCO|CUSCO|070101|-13.5242195|-71.9436937|20220817
145|UNIVERSIDAD PERUANA SANTO TOMÁS DE AQUINO DE CIENCIA E INTEGRACIÓN S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|JUNÍN|HUANCAYO|HUANCAYO|110101|-12.0711983|-75.2139846|20220817
146|UNIVERSIDAD PRIVADA SISE S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|LIMA|LIMA|ATE|140103|-12.0165774|-76.8901713|20220817
063|GRUPO EDUCATIVO UNIVERSIDAD PRIVADA DE ICA S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|ICA|ICA|ICA|100101|-14.0767829|-75.7338981|20220817
087|UNIVERSIDAD AUTÓNOMA DE ICA S.A.C.|PRIVADO|LICENCIA OTORGADA|20200612|20260612|6|ICA|CHINCHA|CHINCHA ALTA|100201|-13.41558722|-76.12865114|20220817
110|UNIVERSIDAD PRIVADA DE LA SELVA PERUANA S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|LORETO|MAYNAS|IQUITOS|150101|-3.7545929|-73.2471887|20220817
137|UNIVERSIDAD POLITÉCNICA AMAZÓNICA S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|AMAZONAS|UTCUBAMBA|BAGUA GRANDE|010701|-5.7566749|-78.443932|20220817
093|UNIVERSIDAD PERUANA DE INTEGRACIÓN GLOBAL S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|LIMA|LIMA|SANTIAGO DE SURCO|140130|-12.134611|-76.979023|20220817
107|UNIVERSIDAD DE LAMBAYEQUE S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|LAMBAYEQUE|CHICLAYO|CHICLAYO|130101|-6.7745742|-79.8450745|20220817
109|UNIVERSIDAD PERUANA DE ARTE ORVAL S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|LIMA|LIMA|SAN BORJA|140140|-12.1108862|-76.9912619|20220817
113|UNIVERSIDAD PERUANA DE INVESTIGACIÓN Y NEGOCIOS S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|LIMA|LIMA|JESÚS MARÍA|140133|-12.0825774|-77.0462745|20220817
141|UNIVERSIDAD MARÍTIMA DEL PERÚ S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|CALLAO|PROV. CONST. DEL CALLAO|CALLAO|240101|-12.0614969|-77.1471769|20220817
149|FACULTAD DE TEOLOGÍA PONTIFICIA Y CIVIL DE LIMA|PRIVADO|LICENCIA OTORGADA|20200314|20260314|6|LIMA|LIMA|PUEBLO LIBRE|140117|-12.0836439|-77.0692178|20220817
